Step,CBDC_Payments,Deposits_Payments,Total Output
1,140204.369,420613.10699999996,0
2,167525.85626767587,528346.6765425121,80412.0
3,191968.95002143417,552789.7702962706,80412.0
4,218234.00287847925,579054.8231533158,80412.0
5,245485.35370744386,606306.1739822804,80412.0
6,273482.89053661807,634303.7108114547,80412.0
7,306293.34774820413,667114.1680230408,80412.0
8,330275.21924713487,691096.0395219714,80412.0
9,353727.50134925125,714548.3216240876,80412.0
10,382984.5332041312,743805.3534789676,80412.0
11,404236.9662299735,765057.78650481,80412.0
12,428578.2687272675,789399.0890021042,80412.0
13,451664.89187136653,812485.7121462035,80412.0
14,476605.4649899233,837426.28526476,80412.0
15,497057.1437641445,857877.9640389812,80412.0
16,511423.554865554,872244.3751403906,80412.0
17,536961.1910694398,897782.0113442766,80412.0
18,556070.4630447377,916891.2833195745,80412.0
19,573572.9429538497,934393.7632286864,80412.0
20,594851.750628256,955672.5709030932,80412.0
21,617823.8075311889,978644.627806026,80412.0
22,636994.2642912429,997815.0845660799,80412.0
23,658598.7996418632,1019419.6199167002,80412.0
24,668585.1437303375,1029405.9640051745,80412.0
25,679241.213491743,1040062.03376658,80412.0
26,814690.3581484966,1175511.1784233341,80412.0
27,834043.2750522404,1194864.0953270763,80412.0
28,854301.4384863349,1215122.2587611703,80412.0
29,890002.2161150207,1250823.0363898557,80412.0
30,908075.8598161133,1268896.6800909485,80412.0
31,941760.6727658405,1302581.4930406762,80412.0
32,988528.8066797033,1429761.7092293748,80412.0
33,1016984.7366132664,1538629.1840685024,160824.0
34,1048969.5460574606,1570613.993512697,160824.0
35,1073954.114776449,1595598.5622316862,160824.0
36,1102556.2719206961,1624200.7193759321,160824.0
37,1120999.3023790212,1642643.749834257,160824.0
38,1145502.2204758676,1667146.6679311027,160824.0
39,1182833.944629274,1704478.3920845103,160824.0
40,1215287.7858424962,1736932.233297733,160824.0
41,1229414.9586751221,1751059.4061303595,160824.0
42,1241486.4616041922,1763130.9090594293,160824.0
43,1270372.9199017796,1792017.3673570168,160824.0
44,1284470.8321753133,1806115.2796305502,160824.0
45,1307279.691006929,1828924.1384621665,160824.0
46,1323719.6114911505,1845364.0589463871,160824.0
47,1351014.284285466,1872658.7317407033,160824.0
48,1366129.615614278,1887774.0630695147,160824.0
49,1386288.1899253733,1907932.6373806098,160824.0
50,1406620.5348567183,1928264.9823119545,160824.0
51,1426369.978319538,1948014.4257747743,160824.0
52,1434381.3222009141,1956025.7696561504,160824.0
53,1461134.3955692525,1982778.8430244883,160824.0
54,1479356.2798858394,2001000.7273410754,160824.0
55,1503203.1986658017,2024847.6461210384,160824.0
56,1520401.2125399301,2042045.6599951666,160824.0
57,1663649.0398262192,2185293.487281457,160824.0
58,1686565.2302419555,2208209.677697192,160824.0
59,1701532.2415326524,2223176.688987889,160824.0
60,1753634.6314896347,2355690.62385044,160824.0
